lon,lat,elev,exp,slope,veg
739.1511962,951.4006008,823,-1,0,1
742.6614887,951.4006008,823,116,2,1
746.1717812,951.4006008,213,67,2,1
749.6820737,951.4006008,540,307,24,1
753.1923662,951.4006008,732,121,0,1
756.7026587,951.4006008,884,-1,0,1
647.8835912,948.8561358,403,304,13,9
651.3938837,948.8561358,283,265,10,1
654.9041762,948.8561358,301,218,12,1
658.4144687,948.8561358,285,62,7,1
661.9247612,948.8561358,419,335,9,1
665.4350537,948.8561358,428,124,4,1
668.9453462,948.8561358,366,17,17,1
672.4556387,948.8561358,424,179,8,1
675.9659312,948.8561358,487,-1,0,1
679.4762237,948.8561358,540,192,6,1
682.9865162,948.8561358,548,-1,0,1
686.4968087,948.8561358,570,42,7,1
690.0071012,948.8561358,549,277,1,1
693.5173937,948.8561358,640,-1,0,1
697.0276862,948.8561358,650,331,0,1
700.5379787,948.8561358,694,337,6,1
704.0482712,948.8561358,676,309,0,1
707.5585637,948.8561358,679,357,3,1
711.0688562,948.8561358,701,50,2,1
714.5791487,948.8561358,703,14,0,1
718.0894412,948.8561358,672,12,4,1
721.5997337,948.8561358,696,238,6,1
725.1100262,948.8561358,761,135,0,1
728.6203187,948.8561358,745,275,4,1
732.1306112,948.8561358,792,-1,0,1
735.6409037,948.8561358,823,-1,0,1
739.1511962,948.8561358,823,-1,0,1
742.6614887,948.8561358,830,152,2,1
746.1717812,948.8561358,552,61,21,1
749.6820737,948.8561358,560,291,17,1
753.1923662,948.8561358,741,293,35,1
756.7026587,948.8561358,767,160,17,1
760.2129512,948.8561358,871,261,4,1
644.3732987,946.3116708,487,45,0,1
647.8835912,946.3116708,428,95,3,1
651.3938837,946.3116708,355,140,10,1
654.9041762,946.3116708,426,11,0,1
658.4144687,946.3116708,426,90,0,1
661.9247612,946.3116708,365,135,0,1
665.4350537,946.3116708,487,-1,0,1
668.9453462,946.3116708,362,2,2,1
672.4556387,946.3116708,365,198,0,1
675.9659312,946.3116708,487,346,1,1
679.4762237,946.3116708,548,-1,0,1
682.9865162,946.3116708,605,70,7,1
686.4968087,946.3116708,609,-1,0,1
690.0071012,946.3116708,616,13,7,1
693.5173937,946.3116708,487,-1,0,1
697.0276862,946.3116708,674,227,2,1
700.5379787,946.3116708,512,160,15,1
704.0482712,946.3116708,548,198,0,1
707.5585637,946.3116708,670,-1,0,1
711.0688562,946.3116708,670,-1,0,1
714.5791487,946.3116708,672,176,2,1
718.0894412,946.3116708,754,307,3,1
721.5997337,946.3116708,778,302,1,1
725.1100262,946.3116708,786,340,3,1
728.6203187,946.3116708,779,242,3,1
732.1306112,946.3116708,780,117,6,1
735.6409037,946.3116708,780,231,3,1
739.1511962,946.3116708,792,285,0,1
742.6614887,946.3116708,792,-1,0,1
746.1717812,946.3116708,252,80,18,1
749.6820737,946.3116708,685,248,9,1
753.1923662,946.3116708,426,127,0,1
756.7026587,946.3116708,661,338,4,1
760.2129512,946.3116708,884,-1,0,1
647.8835912,943.7672058,548,198,0,1
651.3938837,943.7672058,448,128,13,1
654.9041762,943.7672058,365,83,6,1
658.4144687,943.7672058,430,320,7,1
661.9247612,943.7672058,488,50,4,1
665.4350537,943.7672058,487,72,0,1
668.9453462,943.7672058,364,84,2,1
672.4556387,943.7672058,515,353,2,1
675.9659312,943.7672058,484,257,4,1
679.4762237,943.7672058,548,297,0,1
682.9865162,943.7672058,460,48,12,1
686.4968087,943.7672058,426,-1,0,1
690.0071012,943.7672058,644,166,12,1
693.5173937,943.7672058,648,6,9,1
697.0276862,943.7672058,611,40,2,1
700.5379787,943.7672058,669,315,0,1
704.0482712,943.7672058,728,84,7,1
707.5585637,943.7672058,730,357,1,1
711.0688562,943.7672058,785,265,5,1
714.5791487,943.7672058,730,283,3,1
718.0894412,943.7672058,731,284,1,1
721.5997337,943.7672058,731,252,0,1
725.1100262,943.7672058,793,322,0,1
728.6203187,943.7672058,804,340,3,1
732.1306112,943.7672058,781,38,7,1
735.6409037,943.7672058,548,45,9,1
739.1511962,943.7672058,793,117,3,1
742.6614887,943.7672058,758,221,14,1
746.1717812,943.7672058,595,332,20,1
749.6820737,943.7672058,226,227,4,1
753.1923662,943.7672058,466,290,9,8
756.7026587,943.7672058,647,103,15,1
760.2129512,943.7672058,751,319,22,1
763.7232437,943.7672058,855,205,9,1
647.8835912,941.2227408,609,315,0,1
651.3938837,941.2227408,549,-1,0,1
654.9041762,941.2227408,550,25,2,1
658.4144687,941.2227408,424,213,6,1
661.9247612,941.2227408,464,70,9,1
665.4350537,941.2227408,519,208,5,1
668.9453462,941.2227408,493,55,1,1
672.4556387,941.2227408,427,346,4,1
675.9659312,941.2227408,543,337,5,1
679.4762237,941.2227408,548,45,0,1
682.9865162,941.2227408,665,231,3,1
686.4968087,941.2227408,683,36,1,1
690.0071012,941.2227408,632,266,15,1
693.5173937,941.2227408,493,60,16,1
697.0276862,941.2227408,720,48,10,1
700.5379787,941.2227408,669,90,7,1
704.0482712,941.2227408,790,252,3,1
707.5585637,941.2227408,793,0,0,1
711.0688562,941.2227408,853,225,0,1
714.5791487,941.2227408,840,11,8,1
718.0894412,941.2227408,856,49,1,1
721.5997337,941.2227408,806,72,10,1
725.1100262,941.2227408,853,45,0,1
728.6203187,941.2227408,842,27,2,1
732.1306112,941.2227408,748,74,4,1
735.6409037,941.2227408,520,28,7,1
739.1511962,941.2227408,419,173,3,1
742.6614887,941.2227408,560,211,14,1
746.1717812,941.2227408,612,137,7,1
749.6820737,941.2227408,223,279,2,1
753.1923662,941.2227408,510,100,21,8
756.7026587,941.2227408,232,184,4,1
760.2129512,941.2227408,343,174,18,8
763.7232437,941.2227408,340,93,17,1
767.2335362,941.2227408,238,178,5,1
651.3938837,938.6782758,609,135,0,1
654.9041762,938.6782758,605,319,7,1
658.4144687,938.6782758,559,317,9,1
661.9247612,938.6782758,600,315,3,1
665.4350537,938.6782758,589,334,4,1
668.9453462,938.6782758,562,6,1,1
672.4556387,938.6782758,592,27,7,1
675.9659312,938.6782758,656,16,5,1
682.9865162,938.6782758,679,284,4,1
686.4968087,938.6782758,744,49,1,1
690.0071012,938.6782758,700,114,10,1
693.5173937,938.6782758,656,245,21,1
697.0276862,938.6782758,792,-1,0,1
700.5379787,938.6782758,792,-1,0,1
704.0482712,938.6782758,774,307,12,1
707.5585637,938.6782758,843,247,10,1
711.0688562,938.6782758,914,-1,0,1
714.5791487,938.6782758,932,331,2,1
718.0894412,938.6782758,915,135,0,1
721.5997337,938.6782758,943,320,4,1
725.1100262,938.6782758,914,27,0,1
728.6203187,938.6782758,676,223,24,1
732.1306112,938.6782758,508,72,9,9
735.6409037,938.6782758,550,33,1,1
739.1511962,938.6782758,666,325,7,1
742.6614887,938.6782758,437,25,22,1
746.1717812,938.6782758,434,171,4,1
749.6820737,938.6782758,244,288,0,1
753.1923662,938.6782758,392,339,11,9
756.7026587,938.6782758,456,338,3,1
760.2129512,938.6782758,304,27,0,1
763.7232437,938.6782758,268,31,4,1
767.2335362,938.6782758,246,82,0,7
770.7438287,938.6782758,256,8,1,7
686.4968087,936.1338108,837,9,3,1
690.0071012,936.1338108,853,308,2,1
693.5173937,936.1338108,727,258,12,1
697.0276862,936.1338108,609,0,0,1
700.5379787,936.1338108,858,283,3,1
704.0482712,936.1338108,789,11,7,1
707.5585637,936.1338108,916,36,3,1
711.0688562,936.1338108,979,52,1,1
714.5791487,936.1338108,984,52,2,1
718.0894412,936.1338108,1015,326,8,1
721.5997337,936.1338108,1017,167,7,1
725.1100262,936.1338108,740,31,12,1
728.6203187,936.1338108,794,88,2,1
732.1306112,936.1338108,803,34,1,1
735.6409037,936.1338108,597,220,15,1
739.1511962,936.1338108,487,129,6,1
742.6614887,936.1338108,426,44,7,1
746.1717812,936.1338108,581,186,15,1
749.6820737,936.1338108,388,303,10,1
753.1923662,936.1338108,539,17,1,1
756.7026587,936.1338108,467,63,4,1
760.2129512,936.1338108,355,82,3,1
763.7232437,936.1338108,339,85,0,1
767.2335362,936.1338108,237,94,2,7
770.7438287,936.1338108,386,325,2,1
697.0276862,933.5893458,710,72,26,1
700.5379787,933.5893458,733,174,14,3
704.0482712,933.5893458,909,173,19,2
707.5585637,933.5893458,1032,335,3,1
711.0688562,933.5893458,1069,150,15,1
714.5791487,933.5893458,1035,45,0,1
718.0894412,933.5893458,921,323,12,1
721.5997337,933.5893458,928,90,11,1
725.1100262,933.5893458,975,4,1,1
728.6203187,933.5893458,905,334,11,1
732.1306112,933.5893458,865,328,6,1
735.6409037,933.5893458,608,22,1,9
739.1511962,933.5893458,750,26,6,1
742.6614887,933.5893458,599,30,16,1
746.1717812,933.5893458,609,45,0,1
749.6820737,933.5893458,568,20,14,1
753.1923662,933.5893458,550,97,1,1
756.7026587,933.5893458,488,-1,0,1
760.2129512,933.5893458,497,65,7,1
763.7232437,933.5893458,367,48,2,1
767.2335362,933.5893458,364,319,6,1
770.7438287,933.5893458,366,135,3,1
774.2541212,933.5893458,434,309,5,1
777.7644137,933.5893458,487,-1,0,1
781.2747062,933.5893458,498,264,1,1
697.0276862,931.0448808,861,32,12,1
700.5379787,931.0448808,829,274,20,1
704.0482712,931.0448808,854,42,7,2
707.5585637,931.0448808,1158,280,1,2
711.0688562,931.0448808,1125,352,13,1
714.5791487,931.0448808,1075,244,13,1
718.0894412,931.0448808,1008,13,11,1
721.5997337,931.0448808,1036,45,0,1
725.1100262,931.0448808,934,183,18,1
728.6203187,931.0448808,914,165,0,1
732.1306112,931.0448808,892,40,11,1
735.6409037,931.0448808,774,347,17,9
739.1511962,931.0448808,701,37,17,9
742.6614887,931.0448808,791,329,6,9
746.1717812,931.0448808,732,72,0,1
749.6820737,931.0448808,610,180,0,1
753.1923662,931.0448808,580,135,0,1
756.7026587,931.0448808,569,345,6,1
760.2129512,931.0448808,548,233,6,1
763.7232437,931.0448808,539,53,9,1
767.2335362,931.0448808,232,193,1,1
770.7438287,931.0448808,427,225,0,1
774.2541212,931.0448808,437,30,5,1
777.7644137,931.0448808,518,352,6,1
781.2747062,931.0448808,547,18,1,1
784.7849987,931.0448808,519,265,1,1
700.5379787,928.5004158,670,-1,0,1
704.0482712,928.5004158,1078,275,15,2
707.5585637,928.5004158,1103,76,27,2
711.0688562,928.5004158,1280,323,1,6
714.5791487,928.5004158,1154,291,2,6
718.0894412,928.5004158,1220,332,1,2
721.5997337,928.5004158,1162,67,2,1
725.1100262,928.5004158,1129,5,6,1
728.6203187,928.5004158,1097,45,0,1
732.1306112,928.5004158,999,83,7,9
735.6409037,928.5004158,913,67,3,9
739.1511962,928.5004158,913,324,1,1
742.6614887,928.5004158,794,334,6,1
746.1717812,928.5004158,590,151,12,1
749.6820737,928.5004158,612,70,5,1
753.1923662,928.5004158,605,10,11,1
756.7026587,928.5004158,426,43,14,1
760.2129512,928.5004158,304,52,4,1
763.7232437,928.5004158,498,44,15,1
767.2335362,928.5004158,464,288,11,1
770.7438287,928.5004158,291,288,10,1
774.2541212,928.5004158,506,221,13,1
777.7644137,928.5004158,613,305,1,1
781.2747062,928.5004158,630,286,4,1
784.7849987,928.5004158,589,331,4,1
700.5379787,925.9559508,905,86,9,3
704.0482712,925.9559508,908,288,6,2
707.5585637,925.9559508,1368,12,11,2
711.0688562,925.9559508,1298,248,7,6
714.5791487,925.9559508,1286,17,3,6
718.0894412,925.9559508,1321,261,4,6
721.5997337,925.9559508,1282,8,3,2
725.1100262,925.9559508,1185,175,16,1
728.6203187,925.9559508,1027,63,4,1
732.1306112,925.9559508,902,92,7,9
735.6409037,925.9559508,883,4,18,1
739.1511962,925.9559508,699,103,8,1
742.6614887,925.9559508,596,161,20,1
746.1717812,925.9559508,740,321,1,1
749.6820737,925.9559508,702,36,4,1
753.1923662,925.9559508,674,29,0,1
756.7026587,925.9559508,671,198,0,1
760.2129512,925.9559508,365,54,1,1
763.7232437,925.9559508,654,23,3,1
767.2335362,925.9559508,620,353,3,1
770.7438287,925.9559508,519,40,19,1
774.2541212,925.9559508,368,240,23,1
777.7644137,925.9559508,670,-1,0,1
781.2747062,925.9559508,715,11,4,1
784.7849987,925.9559508,750,332,6,1
700.5379787,923.4114858,818,86,20,5
704.0482712,923.4114858,1223,73,7,6
707.5585637,923.4114858,1468,351,3,6
711.0688562,923.4114858,1391,61,9,6
714.5791487,923.4114858,1411,2,2,6
718.0894412,923.4114858,1403,67,0,6
721.5997337,923.4114858,1278,139,9,2
725.1100262,923.4114858,1029,149,13,2
728.6203187,923.4114858,1193,332,22,1
732.1306112,923.4114858,1049,70,11,1
735.6409037,923.4114858,1012,37,16,9
739.1511962,923.4114858,808,51,10,1
742.6614887,923.4114858,825,67,11,1
746.1717812,923.4114858,792,-1,0,1
749.6820737,923.4114858,734,84,1,1
753.1923662,923.4114858,700,175,19,1
756.7026587,923.4114858,579,17,11,1
760.2129512,923.4114858,563,7,13,1
763.7232437,923.4114858,675,301,3,1
767.2335362,923.4114858,678,45,1,1
770.7438287,923.4114858,525,344,11,1
774.2541212,923.4114858,366,240,25,1
777.7644137,923.4114858,542,346,5,1
781.2747062,923.4114858,607,49,11,1
784.7849987,923.4114858,801,315,1,1
693.5173937,920.8670208,1243,95,17,6
697.0276862,920.8670208,1076,121,13,6
700.5379787,920.8670208,1008,327,23,6
704.0482712,920.8670208,1473,35,10,6
707.5585637,920.8670208,1424,45,14,6
711.0688562,920.8670208,1462,153,11,6
714.5791487,920.8670208,1409,14,4,6
718.0894412,920.8670208,1298,81,10,6
721.5997337,920.8670208,1353,28,4,6
725.1100262,920.8670208,1146,132,18,2
728.6203187,920.8670208,1046,350,13,2
732.1306112,920.8670208,1033,137,12,1
735.6409037,920.8670208,825,159,16,1
739.1511962,920.8670208,645,87,12,9
742.6614887,920.8670208,919,294,2,1
746.1717812,920.8670208,854,61,1,1
749.6820737,920.8670208,786,318,17,1
753.1923662,920.8670208,561,105,17,1
756.7026587,920.8670208,618,307,11,9
760.2129512,920.8670208,733,216,22,1
763.7232437,920.8670208,731,315,0,1
767.2335362,920.8670208,738,40,5,1
770.7438287,920.8670208,434,119,24,8
774.2541212,920.8670208,618,158,11,1
777.7644137,920.8670208,564,292,23,8
781.2747062,920.8670208,823,-1,0,1
784.7849987,920.8670208,797,50,5,1
690.0071012,918.3225558,1164,85,19,6
693.5173937,918.3225558,909,94,7,6
697.0276862,918.3225558,1195,48,21,6
700.5379787,918.3225558,1268,351,10,7
704.0482712,918.3225558,1476,165,14,6
707.5585637,918.3225558,1521,85,10,3
711.0688562,918.3225558,1526,73,5,8
714.5791487,918.3225558,1529,42,3,4
718.0894412,918.3225558,1482,302,8,6
721.5997337,918.3225558,1463,143,0,6
725.1100262,918.3225558,1361,15,11,6
728.6203187,918.3225558,1141,106,13,1
732.1306112,918.3225558,824,137,21,1
735.6409037,918.3225558,1159,23,2,2
739.1511962,918.3225558,1045,75,4,2
742.6614887,918.3225558,968,253,13,2
746.1717812,918.3225558,919,24,3,1
749.6820737,918.3225558,906,36,4,8
753.1923662,918.3225558,862,324,2,9
756.7026587,918.3225558,853,-1,0,1
760.2129512,918.3225558,854,66,1,1
763.7232437,918.3225558,803,51,5,1
767.2335362,918.3225558,814,62,1,1
770.7438287,918.3225558,792,72,1,1
774.2541212,918.3225558,792,342,0,8
777.7644137,918.3225558,425,34,34,8
781.2747062,918.3225558,800,203,11,1
784.7849987,918.3225558,853,-1,0,1
690.0071012,915.7780908,1352,97,22,6
693.5173937,915.7780908,1308,73,22,6
697.0276862,915.7780908,1129,210,19,6
700.5379787,915.7780908,1276,270,22,6
704.0482712,915.7780908,1548,199,17,6
707.5585637,915.7780908,1492,288,15,6
